business_id,name,domain
0108515-7,Oy Halva Ab,halva.fi
0115425-5,As. Oy Keravan Sariolantie 5,fazer.fi
0109920-9,Kiinteistö-Hypoteekki Oy,veho.fi
0102179-4,As. Oy Matinraitti 14,
0148850-3,Helläkoski Oy,
0101064-9,Assa Abloy Entrance Systems Finland Oy,
0116301-2,Nahkakunta,
0100092-6,Espoon Lukkohuolto Oy,
0100563-9,Candy Hoover Oy,
0148665-5,Tammi-Tuote Ky,
0100573-5,BMI Suomi Oy,
0110503-1,Kuljetusliike Köli Oy,
0116476-0,Pääkaupungin Päällystö ry,
0108013-7,Avarn Security Oy,
0100399-1,Oy Bemet Trading Ab,
0148722-8,Arctic-Fur Oy,
0103349-6,"Aluesiivous Ky, Ritva Laaksonen",
0148714-8,Alestalon Mattokutomo Oy,
0100435-3,Esbogård Aktiebolag,
0110610-6,Laivapoltin Oy,
0100123-2,Oy Emar Ab,
0101102-7,Artek Foundation Oy,
0101053-4,Oy Stora Ådholmen Ab,
0100906-6,Oy Pattistenaukio,
0100915-4,Pienet Niittysaaret Oy,
0110085-5,Knorring OY AB,
0118968-5,Oy Kisalämpö Ab,
0100369-2,Sunark Oy,
0106830-6,Auto-Ahonen Oy,
0110194-6,Konsulttikeskus Oy,
0146866-8,Vekka Group Oy,
0102244-7,As.Oy Liinasaarenpuisto,
0101082-5,Koivulan Filmi ja Video Oy,
0100815-1,Marine Trading Oy,
0108023-3,Finnair Oyj,
0108057-5,Finnair Cargo Oy,
0112551-8,Passif Oy,
0112831-3,Polarputki Oy,
0115761-6,Veho Oy Ab,
0100582-3,Ilmex Oy,
0109875-9,Evertaste Oy,
0111521-3,My Invest Oy,
0102615-7,Kiint. Oy Havukosken Palvelutalo,
0100598-9,Isännät Oy,
0148453-7,Lahden Kellokeskus Oy,
0148624-1,Kuljetusliike Jari Salminen Ky,
0149061-1,Polttimo Oy,
0149232-6,Myrkytys Oy,
0148321-9,Asianajotoimisto Kurki-Suonio Oy,
0100873-3,Novo Nordisk Farma Oy,
0109485-4,JX-mainos Oy,
0109393-1,Javanainen Oy,
0105201-3,Papru Invest Oy,
0106954-4,Banmark Oy Ab,
0107127-3,Bruce Campbell Group Oy,
0100583-1,Innamaa Engineering Oy,
0112134-9,Nuovo Oy,
0108170-3,Finn-Sellers Oy,
0112371-5,Paineliitin Oy,
0105781-8,Trans SF-Cargo Oy,
0100130-4,Dynava Oy,
0113024-5,Putkiyhtymä Oy,
0148636-4,E & H Savutie,
0148302-4,Autokoulu Ajokortti Ky,
0148320-0,Asianajotoimisto Osmo Mäkinen Oy,
0149220-3,Oy J. Mononen,
0113570-8,Flint Group Finland Oy,
0149221-1,HS-Yrityspalvelu Oy,
0149057-4,Lahden Konservatorio Oy,
0100455-6,Espoon KTK Oy,
0105605-7,Kuljetusliike Mauri Sepponen Oy,
0145371-4,As. Oy Asikkalan Anianmetsä,
0149017-9,Lahden Kiinteistönotariaatti Oy,
0148902-0,Kaivolan Kuljetus Oy,
0146321-8,As. Oy Kansankartano,
0146336-5,As. Oy Lehmuksenkukka,
0149350-5,Rinteen Kuljetus Oy,
0149001-3,Lahden Isännöitsijätoimisto Oy,
0107838-7,Eurotex Oy,
0149219-0,Mono Oy,
0103678-5,PUASIN VEST OY,
0100895-2,Otakallion Autotalli Oy,
0113210-1,Oy Klippan Ab,
0100640-4,Kiinteistöosakeyhtiö Kaskenpaja,
0100992-0,Kiinteistöosakeyhtiö Sammonpaja,
0112274-7,Orbis Oy,
0102282-6,Skanska Oy,
0117330-9,As. Oy Anianpellontie 14,
0148724-4,Arkkitehtitoimisto Rosberg Ikävalko Oy,
0101744-5,Yrjö ja Hanna Kiinteistöt Oy,
0104033-8,Onni Huhtimo & Co Oy,
0109075-7,Beijer Oy,
0112321-3,LEDVANCE Oy,
0101172-1,Ultramarino Oy,
0100346-5,Oy Linde Gas Ab,
0101197-5,Ramboll Finland Oy,
0148682-3,Tolvanen Oy,
0100571-9,Iatrodata OY,
0110146-0,Jetflite Oy,
0104590-5,H. Lahtinen & Co,
0149340-9,Tola Oy,
0108871-0,Hermesia Oy,
0113885-3,Show Center Oy,
0100964-8,Xerox Oy,
0100905-8,Parttiputki Oy,
0107629-3,Koy Välittäjä 3,
0148677-8,Tili- ja Tilintarkastustoimisto Ahti Seppälä Ky,
0108305-5,PMC Hydraulics Oy,
0113325-1,Oy Rehau Ab,
0114966-7,Calderys Finland Oy,
0116955-3,"Suomen Kylmäyhdistys ry, Kylföreningen i Finland rf",
0149178-8,Annaria Oy,
0148312-0,Arkkitehtitoimisto Tupala Ky,
0119132-0,Konalanvuoren Lämpö Oy,
0148557-2,Nuutti Grilli Ky,
0149087-3,LSK Group Oy,
0146357-6,As. Oy Kastanjakatu 6,
0149366-0,Saksalan Huolto Oy,
0102167-1,Konsultointi-Kapaset Oy,
0107714-9,Erikuljetus Oy,
0109024-7,Hunskolvotti Oy,
0124273-0,Kiinteistö-Oy Rajareuna,
0146303-1,As. Oy Haaparousku,
0149209-4,Metsämaan Lämpö Oy,
0148793-0,Ewaldina Oy,
0108052-4,Lukitusturva Oy,
0148444-9,Kääpä Oy,
0109486-2,Hevek Oy,
0104961-5,"Mopo-Sport, Saukkonen & Salomaa",
0112077-6,Norlas Oy,
0116015-3,Väritukku Oy,
0108597-4,HD-Parts Oy,
0100809-8,Lempeäliike Design Oy,
0101083-3,Suunnittelukymppi OY,
